lambda,seed,pct_pruned,orig_ppl,pruned_ppl,source,delta_ce,efficiency
0.01,0,13.924153645833337,24.844423022149055,25.519957042044386,v1 (re-evaluated),0.026827473482318582,13.555569973434787
0.01,1,11.916775173611116,24.844423022149055,24.237378791479816,v1 (re-evaluated),-0.024737281998375826,12.215240188312542
0.02,0,12.518988715277779,24.844423022149055,24.46881211771231,v1 (re-evaluated),-0.015233969844619524,12.711162681523367
0.02,1,13.433159722222221,24.844423022149055,25.19959212442949,v1 (re-evaluated),0.014194507160495105,13.243829543552144
0.05,0,14.756944444444443,24.844423022149055,25.89055285580057,v1 (re-evaluated),0.04124484587667384,14.160677538795396
0.05,1,14.230685763888884,24.844423022149055,25.770214656756853,v1 (re-evaluated),0.0365860526572494,13.719450215003526
0.1,0,14.55078125,24.844423022149055,25.832894235399987,v1 (re-evaluated),0.0390153485199969,13.99400939683975
0.1,1,14.520941840277779,24.844423022149055,26.413379867878326,v1 (re-evaluated),0.061237393255675295,13.658396750603481
0.2,0,18.43804253472222,24.844423022149055,27.99737748230996,v1 (re-evaluated),0.11947754275525035,16.361622752790115
0.2,1,16.726345486111114,24.844423022149055,26.7517745618321,v1 (re-evaluated),0.07396750821439295,15.533788306681156
0.4,0,21.823459201388886,24.844423022149055,29.491043333998316,v1 (re-evaluated),0.17145329976111642,18.384946441717084
0.4,1,22.233072916666664,24.844423022149055,31.122336870573236,v1 (re-evaluated),0.22529248704559718,17.74827741634743
0.55,0,24.76,25.109,30.659,v2 (native),0.19969990952026231,20.277857725300894
0.55,1,25.27,25.109,29.847,v2 (native),0.1728579846698735,21.258566355077562
0.75,0,31.6,25.109,36.702,v2 (native),0.37960490188302387,21.618560296441615
0.75,1,32.4,25.109,34.831,v2 (native),0.3272814472417256,23.35653871551204
1.0,0,38.51,25.109,42.838,v2 (native),0.5341992115434917,22.572192679396796
1.0,1,39.59,25.109,37.29,v2 (native),0.3954988465852705,26.65769133816037
1.35,0,47.57,25.109,42.134,v2 (native),0.5176286680988197,28.348486495466844
1.35,1,50.76,25.109,46.015,v2 (native),0.6057410826853613,27.69820362925133
1.8,0,57.42,25.109,52.86,v2 (native),0.7444205615706841,27.27504313280364
1.8,1,55.99,25.109,58.864,v2 (native),0.8520033507569597,23.883067919271543
2.4,0,66.6,25.109,58.594,v2 (native),0.8474059546568903,28.53977199030617
2.4,1,69.39,25.109,67.433,v2 (native),0.9879081647341817,25.837698307950113
3.2,0,77.32,25.109,71.426,v2 (native),1.045435601113404,27.18096883487805
3.2,1,75.67,25.109,74.976,v2 (native),1.0939417147199262,25.341416319889035
