lambda,seed,pct_pruned,orig_ppl_old_protocol,pruned_ppl_old_protocol,delta_ppl_old_protocol,orig_ppl_new_protocol,pruned_ppl_new_protocol,delta_ppl_new_protocol
0.01,0,13.924153645833337,35.091821547399164,30.89828291409287,-4.193538633306293,24.844423022149055,25.519957042044386,0.6755340198953306
0.01,1,11.916775173611116,35.091821547399164,30.455967328687343,-4.63585421871182,24.844423022149055,24.237378791479816,-0.6070442306692385
0.02,0,12.518988715277779,35.091821547399164,30.22324837989096,-4.8685731675082025,24.844423022149055,24.46881211771231,-0.37561090443674416
0.02,1,13.433159722222221,35.091821547399164,30.70869072441531,-4.383130822983855,24.844423022149055,25.19959212442949,0.35516910228043486
0.05,0,14.756944444444443,35.091821547399164,31.613430736675433,-3.478390810723731,24.844423022149055,25.89055285580057,1.0461298336515163
0.05,1,14.230685763888884,35.091821547399164,31.618613300634845,-3.473208246764319,24.844423022149055,25.770214656756853,0.9257916346077977
0.1,0,14.55078125,35.091821547399164,30.859704431283586,-4.232117116115578,24.844423022149055,25.832894235399987,0.9884712132509321
0.1,1,14.520941840277779,35.091821547399164,31.537142730445442,-3.5546788169537216,24.844423022149055,26.413379867878326,1.5689568457292715
0.2,0,18.43804253472222,35.091821547399164,33.157540176454475,-1.9342813709446887,24.844423022149055,27.99737748230996,3.152954460160906
0.2,1,16.726345486111114,35.091821547399164,31.57438213631825,-3.5174394110809146,24.844423022149055,26.7517745618321,1.9073515396830452
0.4,0,21.823459201388886,35.091821547399164,33.20010824446146,-1.8917133029377027,24.844423022149055,29.491043333998316,4.6466203118492615
0.4,1,22.233072916666664,35.091821547399164,34.51961268000959,-0.5722088673895769,24.844423022149055,31.122336870573236,6.2779138484241805
