lambda,seed,source,pct_pruned,orig_ppl,pruned_ppl,ce,delta_ce,efficiency
0.01,0,v1,17.71,49.038,24.478,3.1977747549601467,-0.6948207528019008,35.47932755944113
0.01,1,v1,19.99,49.038,25.587,3.242084410005082,-0.6505110977569655,38.311236956266846
0.02,0,v1,20.38,49.038,25.969,3.256903518964858,-0.6356919887971895,38.4841326196619
0.02,1,v1,19.08,49.038,25.297,3.2306858116275587,-0.6619096961344888,36.986403130806
0.05,0,v1,22.0,49.038,24.808,3.2111661817981476,-0.6814293259638999,43.487423411802645
0.05,1,v1,20.53,49.038,25.313,3.2313180977580878,-0.6612774100039598,39.7720594161103
0.1,0,v1,24.27,49.038,25.336,3.2322263092363386,-0.660369198525709,46.974749763182814
0.1,1,v1,24.34,49.038,25.069,3.2216320230619178,-0.6709634847001298,47.6119877139096
0.2,0,v1,28.87,49.038,25.991,3.257750324250256,-0.6348451835117914,54.46989573313841
0.2,1,v1,31.8,49.038,28.208,3.339605625655514,-0.5529898821065333,55.28248723766308
0.4,0,v1,34.37,49.038,28.441,3.347831766060903,-0.5447637417011446,59.26078759537287
0.4,1,v1,36.11,49.038,28.181,3.3386479920013126,-0.553947515760735,62.83532096093112
0.55,0,v2,40.92,49.038,27.938,3.329987769305359,-0.5626077384566885,71.82457441477558
0.55,1,v2,38.03,49.038,29.014,3.3677784721167106,-0.524817035645337,64.2763886399669
0.75,0,v2,45.26,49.038,28.837,3.3616592848146643,-0.5309362229473833,76.96569962201336
0.75,1,v2,44.48,49.038,30.538,3.4189718097613198,-0.4736236980007278,71.42609994105705
1.0,0,v2,48.06,49.038,32.057,3.4675155682553127,-0.42507993950673484,73.51799232616901
1.0,1,v2,48.88,49.038,33.061,3.4983543399692936,-0.394241167792754,72.50166177671575
1.3,0,v2,55.87,49.038,35.993,3.583324475104894,-0.3092710326571537,76.11905259355984
1.3,1,v2,55.01,49.038,35.276,3.5632028460259346,-0.3293926617361129,76.47069905885017
1.8,0,v2,65.67,49.038,42.579,3.7513611739852304,-0.14123433377681716,75.63177763686323
